,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,trackName,artistName,explicit,popularity
255,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
256,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
257,0.82,0.504,4,-9.113,0,0.141,0.261,7e-06,0.104,0.275,85.016,6ZYxNjuAU9Vy3VtF6W1dtE,199206,4,WE ROLLIN,Shubh,True,78
258,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
259,0.828,0.533,6,-5.779,0,0.091,0.214,2.8e-05,0.307,0.605,93.021,2AilvPt1AQ8PixlCKqkjfj,200659,4,ELEVATED,Shubh,True,78
260,0.801,0.346,5,-13.455,0,0.252,0.0468,0.00169,0.112,0.653,159.986,4Mh04VNolWA9g97ychP72l,172055,4,OFFSHORE,Shubh,False,67
261,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
262,0.828,0.533,6,-5.779,0,0.091,0.214,2.8e-05,0.307,0.605,93.021,2AilvPt1AQ8PixlCKqkjfj,200659,4,ELEVATED,Shubh,True,78
263,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
264,0.662,0.4,2,-11.2,1,0.0548,0.735,1.65e-05,0.0863,0.617,79.972,6zAvNLJkdyRApUHnlJjKfO,298987,4,Jhoom R&B Mix,Ali Zafar,False,71
265,0.338,0.721,4,-5.735,0,0.0587,0.00182,2.03e-05,0.349,0.381,80.774,0UWHBhWCIMweUSlvMBgp4Y,220468,4,Hell Or High Water,Passenger,False,39
266,0.828,0.533,6,-5.779,0,0.091,0.214,2.8e-05,0.307,0.605,93.021,2AilvPt1AQ8PixlCKqkjfj,200659,4,ELEVATED,Shubh,True,78
267,0.801,0.346,5,-13.455,0,0.252,0.0468,0.00169,0.112,0.653,159.986,4Mh04VNolWA9g97ychP72l,172055,4,OFFSHORE,Shubh,False,67
268,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
269,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
270,0.828,0.533,6,-5.779,0,0.091,0.214,2.8e-05,0.307,0.605,93.021,2AilvPt1AQ8PixlCKqkjfj,200659,4,ELEVATED,Shubh,True,78
271,0.792,0.647,10,-5.447,0,0.334,0.0299,0.0,0.119,0.638,89.029,7B4uYqxTpTOS1sgxFB9Ann,262247,4,The Last Ride,Sidhu Moose Wala,False,76
272,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
273,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,08Isz2ETWSBhvIl8UpKYsp,170388,4,NO LOVE,Shubh,False,82
