,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,trackName,artistName
11751,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4,Photograph,Ed Sheeran
11752,0.263,0.307,3,-9.724,1,0.0295,0.71,7.48e-06,0.337,0.239,182.082,audio_features,5BpmwiKR6ns1EtfCQRpNUc,spotify:track:5BpmwiKR6ns1EtfCQRpNUc,https://api.spotify.com/v1/tracks/5BpmwiKR6ns1EtfCQRpNUc,https://api.spotify.com/v1/audio-analysis/5BpmwiKR6ns1EtfCQRpNUc,258025,3,Flicker,Niall Horan
11753,0.413,0.694,0,-7.984,1,0.0562,0.00286,0.00172,0.845,0.276,159.982,audio_features,3KVVhZUYs77OSujKlvWEXy,spotify:track:3KVVhZUYs77OSujKlvWEXy,https://api.spotify.com/v1/tracks/3KVVhZUYs77OSujKlvWEXy,https://api.spotify.com/v1/audio-analysis/3KVVhZUYs77OSujKlvWEXy,290720,4,Leave Out All The Rest - One More Light Live,Linkin Park
11754,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,audio_features,3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,196373,4,Be Alright,Dean Lewis
11755,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,audio_features,0FDzzruyVECATHXKHFs9eJ,spotify:track:0FDzzruyVECATHXKHFs9eJ,https://api.spotify.com/v1/tracks/0FDzzruyVECATHXKHFs9eJ,https://api.spotify.com/v1/audio-analysis/0FDzzruyVECATHXKHFs9eJ,267867,4,A Sky Full of Stars,Coldplay
11756,0.476,0.397,6,-6.681,0,0.0317,0.53,0.0,0.0763,0.256,139.777,audio_features,42eB4oaJ9vwsnxz1RFQUa0,spotify:track:42eB4oaJ9vwsnxz1RFQUa0,https://api.spotify.com/v1/tracks/42eB4oaJ9vwsnxz1RFQUa0,https://api.spotify.com/v1/audio-analysis/42eB4oaJ9vwsnxz1RFQUa0,173653,4,Wonder - Acoustic,Shawn Mendes
11757,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89e-06,0.311,0.436,80.016,audio_features,5PjfMmF06QtxTPZBZHdhoZ,spotify:track:5PjfMmF06QtxTPZBZHdhoZ,https://api.spotify.com/v1/tracks/5PjfMmF06QtxTPZBZHdhoZ,https://api.spotify.com/v1/audio-analysis/5PjfMmF06QtxTPZBZHdhoZ,245413,4,Everything Has Changed,Taylor Swift
11758,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89e-06,0.311,0.436,80.016,audio_features,5PjfMmF06QtxTPZBZHdhoZ,spotify:track:5PjfMmF06QtxTPZBZHdhoZ,https://api.spotify.com/v1/tracks/5PjfMmF06QtxTPZBZHdhoZ,https://api.spotify.com/v1/audio-analysis/5PjfMmF06QtxTPZBZHdhoZ,245413,4,Everything Has Changed,Taylor Swift
11759,0.6,0.23,4,-8.576,1,0.128,0.766,0.0,0.0963,0.285,149.636,audio_features,5qTeqJdxEU1nwpqih1ghPH,spotify:track:5qTeqJdxEU1nwpqih1ghPH,https://api.spotify.com/v1/tracks/5qTeqJdxEU1nwpqih1ghPH,https://api.spotify.com/v1/audio-analysis/5qTeqJdxEU1nwpqih1ghPH,186967,4,Lego House - Acoustic,Ed Sheeran
11760,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89e-06,0.311,0.436,80.016,audio_features,5PjfMmF06QtxTPZBZHdhoZ,spotify:track:5PjfMmF06QtxTPZBZHdhoZ,https://api.spotify.com/v1/tracks/5PjfMmF06QtxTPZBZHdhoZ,https://api.spotify.com/v1/audio-analysis/5PjfMmF06QtxTPZBZHdhoZ,245413,4,Everything Has Changed,Taylor Swift
11761,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139.432,audio_features,66hayvUbTotekKU3H4ta1f,spotify:track:66hayvUbTotekKU3H4ta1f,https://api.spotify.com/v1/tracks/66hayvUbTotekKU3H4ta1f,https://api.spotify.com/v1/audio-analysis/66hayvUbTotekKU3H4ta1f,250286,4,Where Are Ü Now (with Justin Bieber),Jack Ü
11762,0.536,0.486,1,-9.431,0,0.037,0.304,0.000479,0.945,0.125,72.727,audio_features,6U8VHaQxzECez4TSt0nmiP,spotify:track:6U8VHaQxzECez4TSt0nmiP,https://api.spotify.com/v1/tracks/6U8VHaQxzECez4TSt0nmiP,https://api.spotify.com/v1/audio-analysis/6U8VHaQxzECez4TSt0nmiP,255853,4,Everglow - Live from Spotify London,Coldplay
11763,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4,Photograph,Ed Sheeran
11764,0.651,0.503,4,-8.729,1,0.0261,0.504,0.0,0.469,0.58,108.014,audio_features,7mSzDKajY2wUtstQSLdzMK,spotify:track:7mSzDKajY2wUtstQSLdzMK,https://api.spotify.com/v1/tracks/7mSzDKajY2wUtstQSLdzMK,https://api.spotify.com/v1/audio-analysis/7mSzDKajY2wUtstQSLdzMK,227962,4,Rang Lageya,Mohit Chauhan
11765,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89e-06,0.311,0.436,80.016,audio_features,5PjfMmF06QtxTPZBZHdhoZ,spotify:track:5PjfMmF06QtxTPZBZHdhoZ,https://api.spotify.com/v1/tracks/5PjfMmF06QtxTPZBZHdhoZ,https://api.spotify.com/v1/audio-analysis/5PjfMmF06QtxTPZBZHdhoZ,245413,4,Everything Has Changed,Julia Sheer
